STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
"Andaman And Nicobar","North and Middle Andaman",PMGSY-III,14,0,0,0,14,0,69.756,82.6236,0,0,69.756
"Andhra Pradesh","Alluri Sitharama Raju",RCPLWEA,124,34,101,26,23,8,1084.885,827.64173,794.164,551.2687,268.01
"Andhra Pradesh",Anakapalli,PMGSY-I,195,8,195,8,0,0,483.715,158.0745,465.672,140.341,0
"Andhra Pradesh",Anakapalli,PMGSY-II,5,0,5,0,0,0,34.62,21.309,31.291,16.1277,0
"Andhra Pradesh",Annamayya,PMGSY-I,144,6,144,6,0,0,495.735,106.8891,479.78,101.3144,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-III,11,1,11,1,0,0,76.433,48.80619,74.461,44.6505,0
"Andhra Pradesh","East Godavari",PMGSY-II,6,0,6,0,0,0,42.9,18.4807,41.22,15.4279,0
"Andhra Pradesh",Eluru,PMGSY-III,12,2,9,0,3,2,75.097,48.8486,61.66,36.1758,11.16
"Andhra Pradesh",Guntur,PMGSY-II,4,0,4,0,0,0,35.1,17.3794,34.839,13.8579,0
"Andhra Pradesh",Kakinada,PMGSY-I,121,1,121,1,0,0,278.7,48.8651,267.2,40.8587,0
"Andhra Pradesh",Kakinada,PMGSY-III,12,1,11,0,1,1,87.62,47.5397,84.102,39.0525,1.3
"Andhra Pradesh",Krishna,PMGSY-III,16,6,7,0,9,6,95.023,115.75985,56.305,47.7937,36.476
"Andhra Pradesh",Kurnool,PMGSY-II,9,1,9,1,0,0,65.66,28.5085,65.021,26.8076,0
"Andhra Pradesh",Ntr,PMGSY-III,6,2,4,0,2,2,47.028,28.8447,28.135,15.6739,17.338
"Andhra Pradesh",Palnadu,PMGSY-III,15,4,12,0,3,4,102.686,116.83499,89.892,74.5294,9.381
"Andhra Pradesh","Parvathipuram Manyam",PM-JANMAN,19,0,0,0,19,0,38.65,39.56477,0,0,38.65
"Andhra Pradesh",Vizianagaram,PMGSY-III,20,1,18,0,2,1,151.508,85.8204,136.752,69.995,7.44
"Andhra Pradesh",Vizianagaram,PM-JANMAN,3,0,0,0,3,0,15.6,16.3,0,0,15.6
"Arunachal Pradesh","Dibang Valley",PMGSY-II,9,0,9,0,0,0,51.81,46.95383,51.81,46.6464,0
"Arunachal Pradesh",Kamale,PMGSY-I,24,5,24,5,0,0,307.16,212.0949,310.66,214.0637,0
"Arunachal Pradesh","Kurung Kumey",PMGSY-I,60,29,51,23,9,6,963.789,900.1091,876.729,857.292,89.99
"Arunachal Pradesh","Lepa Rada",PMGSY-III,3,0,0,0,3,0,33.8,33.7404,22.5,14.0942,11.3
"Arunachal Pradesh",Lohit,PMGSY-III,7,6,1,1,6,5,54.01,85.4743,8,28.7466,46.01
"Arunachal Pradesh","Pakke kessang",PMGSY-I,16,3,16,3,0,0,184.28,123.1649,184.28,124.052,0
"Arunachal Pradesh","Pakke kessang",PMGSY-III,3,2,0,0,3,2,16.95,23.2813,6.85,8.4284,10.1
"Arunachal Pradesh","Papum Pare",PMGSY-III,12,12,0,0,12,12,109.62,158.12207,18.45,61.5736,91.17
"Arunachal Pradesh",Siang,PMGSY-I,57,1,56,1,1,0,467.5,305.1432,442.27,289.3251,28.1
"Arunachal Pradesh",Tirap,PMGSY-III,5,0,3,0,2,0,52.42,40.65915,29.5,16.1825,22.92
"Arunachal Pradesh","Upper Siang",PMGSY-III,4,0,1,0,3,0,27.1,23.69925,5.4,2.8912,21.7
"Arunachal Pradesh","West Kameng",PMGSY-III,10,0,3,0,7,0,72.3,53.7646,31.004,27.7571,41.1
Assam,Baksa,PMGSY-I,300,57,297,55,3,2,1007.206,667.20473,1002.424,698.9472,2.77
Assam,Dhemaji,PMGSY-III,13,2,10,1,3,1,87.604,49.67692,72.93,35.6293,14.674
Assam,Dhubri,PMGSY-III,36,5,33,0,3,5,222.777,221.01408,211.94,192.537,9.387
Assam,"Kamrup Rural",PMGSY-I,766,133,766,133,0,0,2220.377,1471.67112,2209.175,1621.5809,0
Assam,Kokrajhar,PMGSY-I,220,33,220,33,0,0,735.645,586.70618,734.945,589.5758,0
Assam,Lakhimpur,PMGSY-II,10,2,10,2,0,0,51.94,33.96306,51.94,32.548,0
Assam,Nalbari,PMGSY-I,207,21,207,21,0,0,535.042,290.16332,535.456,300.3734,0
Assam,Nowgaon,PMGSY-I,862,46,862,46,0,0,2200.263,1158.28563,2191.611,1238.8295,0
Assam,Nowgaon,PMGSY-II,18,5,18,5,0,0,134.856,93.0606,130.503,85.1938,0
